Date; Test; AG1C+; AG1; AG1N; AG2C-; AG2C+; AG2; AG2N; AG3C-; AG3C+; AG3; AG3N; AG4C-; AG4C+; AG4; AG4N
2020-10-13;3.4583992239254;3.79966529220364;3.62903225806452;186;3.79029696064981;4.01633287360433;3.90331491712707;362;4.00196968343362;4.2453030438391;4.12363636363636;275;4.19149316250488;4.47517350416179;4.33333333333333;156
2020-10-27;3.53866089433359;3.8474777195278;3.69306930693069;202;3.9341753031321;4.14514481018235;4.03966005665722;353;4.2216888311495;4.43740207794141;4.32954545454545;264;4.36430698506237;4.59997872922335;4.48214285714286;168
2020-11-03;3.57864209886709;3.92662105902765;3.75263157894737;190;4.05738300206326;4.26590466916961;4.16164383561644;365;4.27261352827707;4.48965062266632;4.3811320754717;265;4.37621422885786;4.64365332081102;4.50993377483444;151
2020-11-10;3.72781686237334;4.04877888230751;3.88829787234043;188;4.05803472458849;4.27710041054664;4.16756756756757;370;4.33295394672096;4.54527483556686;4.43911439114391;271;4.43373605046861;4.69551565021166;4.56462585034014;147
2020-11-17;3.7502199090653;4.0477598889145;3.8989898989899;198;4.08795643224144;4.28770494341993;4.18783068783069;378;4.38505463490174;4.57937224256862;4.48221343873518;253;4.40378871087396;4.70021128912604;4.552;125
2020-12-01;3.736346068682;4.0513634285247;3.89385474860335;179;4.12730811949335;4.33464840224578;4.23097826086957;368;4.35690687868704;4.55822227260447;4.45756457564576;271;4.48373435558128;4.72459897775205;4.60416666666667;144
2020-12-15;3.7963645215429;4.12995126793078;3.96315789473684;190;4.0520043340634;4.25653561084018;4.15426997245179;363;4.22790264812613;4.45120182948581;4.33955223880597;268;4.45899861234584;4.72155694320971;4.59027777777778;144
2020-12-22;3.79618076995173;4.10652193275097;3.95135135135135;185;4.06979464959409;4.28539660723651;4.1775956284153;366;4.37309175483789;4.56851408457817;4.47080291970803;274;4.45084356153676;4.75707723054245;4.6039603960396;101
2020-12-29;3.93193287077937;4.23660645506332;4.08426966292135;178;4.17184959218541;4.36290976610336;4.26737967914439;374;4.31612694537235;4.5336899044445;4.42490842490843;273;4.34669628164512;4.63859783600194;4.49264705882353;136
2021-01-12;4.04195966662795;4.32437696703541;4.18316831683168;202;4.13475456794401;4.33263673640382;4.23369565217391;368;4.23299351814843;4.48018477642521;4.35658914728682;258;4.52664825765756;4.76990346648037;4.64827586206897;145
2021-01-26;3.88597805126804;4.19094502565504;4.03846153846154;182;4.22415366148411;4.41292205653156;4.31853785900783;383;4.46215016062362;4.6637757653023;4.56296296296296;270;4.64282979333029;4.85717020666971;4.75;132
2021-02-09;3.84322681728598;4.15677318271402;4;197;4.16149547720921;4.35978111853547;4.26063829787234;376;4.3526629581323;4.5652474896289;4.4589552238806;268;4.58711018020339;4.8036182966178;4.6953642384106;151
2021-02-23;3.83400536628312;4.13390907221955;3.98395721925134;187;4.05161282056891;4.26644647862247;4.15902964959569;371;4.35670502184187;4.5703022774282;4.46350364963504;274;4.42380349685439;4.68145966104034;4.55263157894737;152
2021-03-09;3.80797313992893;4.11675804286677;3.96236559139785;186;4.02335037634263;4.22870441817792;4.12602739726027;365;4.33774734864899;4.54104053013889;4.43939393939394;264;4.34097014884506;4.64432396880199;4.49264705882353;136
2021-03-23;3.76771154209469;4.09472232033918;3.93121693121693;189;3.99551833717745;4.20714832948922;4.10133333333333;375;4.20623166498208;4.46792563838871;4.33707865168539;267;4.4269595691304;4.6676350254642;4.5472972972973;148
2021-04-06;3.50733957148266;3.83692272359931;3.67213114754098;183;3.96692596560401;4.18391202322281;4.07541899441341;358;4.11770532909106;4.36169541997261;4.23970037453183;267;4.31957948020747;4.64282653483012;4.4812030075188;133
2021-04-20;3.65880931145716;3.96756431491646;3.81318681318681;182;3.9971772126586;4.22069988231347;4.10893854748603;358;4.15325032097466;4.41379948745445;4.28352490421456;261;4.19182902141062;4.52438719480559;4.35810810810811;148
2021-05-04;3.60455457524025;3.93228753002291;3.76842105263158;190;3.88200035118042;4.10758298215291;3.99479166666667;384;4.15131867507879;4.38800716761784;4.26966292134831;267;4.20362358236109;4.50008012134262;4.35185185185185;162
2021-05-18;3.51719527153811;3.81613806179522;3.66666666666667;189;3.77099895525753;4.01147838613219;3.89123867069486;331;4.02089189626932;4.28329061323639;4.15209125475285;263;4.32080551332163;4.6176560251399;4.46923076923077;130
2021-06-01;3.23364692250333;3.56843641083;3.40104166666667;192;3.71336119778797;3.95527785546646;3.83431952662722;338;4.0395459979732;4.30863213967862;4.17408906882591;247;4.01843322472581;4.34285709785483;4.18064516129032;155
2021-06-15;3.09968104985729;3.44085949068325;3.27027027027027;185;3.64330176500187;3.86613219726228;3.75471698113208;371;3.87935875821595;4.15852002966284;4.01893939393939;264;3.82970598212963;4.2116733282152;4.02068965517241;145
2021-06-29;3.21390200073853;3.55112532166584;3.38251366120219;183;3.57474966151028;3.81155170835273;3.69315068493151;365;3.85921938373829;4.10401591037936;3.98161764705882;272;3.96816440086905;4.32554189283725;4.14685314685315;143
2021-07-14;2.9975123780583;3.39036640982048;3.19393939393939;165;3.54564097000768;3.77980281697456;3.66272189349112;338;3.72518567278274;3.99813448532003;3.86166007905138;253;3.87312522762237;4.24366309354551;4.05839416058394;137
2021-07-27;3.07628830816665;3.44492381304547;3.26060606060606;165;3.43930638945423;3.67359683635222;3.55645161290323;372;3.7392884356897;4.01467981827855;3.87698412698413;252;3.80834224072253;4.17684294446266;3.99259259259259;135
2021-08-10;2.96988967225829;3.3220022196336;3.14594594594595;185;3.39982947481238;3.65031801781299;3.52507374631268;339;3.63606309415971;3.94333604747119;3.78969957081545;233;3.73537090026691;4.11394416822624;3.92465753424658;146
2021-08-24;3.18791940803079;3.55944901302184;3.37368421052632;190;3.31832184100911;3.57310673041946;3.44571428571429;350;3.73258995636804;4.01331168297622;3.87295081967213;244;3.76536030752732;4.12937653457794;3.94736842105263;133
2021-09-07;2.91059556849907;3.2608330029295;3.08571428571429;175;3.31565896324267;3.57255855941594;3.44410876132931;331;3.54187632229863;3.82032840211082;3.68110236220472;254;3.56342457293704;3.97280731112093;3.76811594202899;138
2021-09-21;2.99385836448549;3.34133716624077;3.16759776536313;179;3.19225352636338;3.45702183595546;3.32463768115942;345;3.64611640793622;3.93365012902876;3.78988326848249;257;3.6099602473596;4.01047770884478;3.81021897810219;137
2021-10-05;2.63699298168369;2.99306482178451;2.8150289017341;173;3.10814534797537;3.37256681819673;3.24035608308605;337;3.40673726572984;3.71014585115327;3.55844155844156;231;3.61497433804392;4.04428492121534;3.82962962962963;135
